deg_level,deg_subject,cfa,exp,size,ret_3y,pct_pron
1,0,1,9,56572326.74,,40.00%
1,1,0,24,55731027.47,14.657927,30.91%
1,1,1,17,53342348.39,,26.92%
2,1,0,32,51341383.84,6.338799,31.25%
1,1,1,46,51078540.64,10.81783,31.87%
0,0,1,24,50438118,7.139041,28.57%
1,1,1,28,48613069.08,1.43907,26.09%
1,1,0,14,48274004.91,8.501505,19.23%
0,1,1,35,47272273.88,15.25845,19.51%
2,0,0,14,47227941.89,4.747944,25.79%
1,1,1,26,45474012.84,10.213031,19.30%
1,1,0,19,45427843.99,,25.77%
0,0,1,36,44283499.74,14.344212,30.34%
2,1,1,43,41000098.28,6.061901,17.74%
0,1,1,34,39106093.94,15.485022,24.24%
1,1,1,11,38685378.4,7.851812,27.17%
1,1,1,26,38048434.41,9.517183,27.59%
1,1,1,34,36233651.9,11.667055,30.61%
1,1,0,19,35672751.77,,30.00%
0,1,0,30,34871107.87,3.631421,13.04%
1,1,0,23,33945164.89,8.388484,16.28%
1,1,0,24,33647912.6,16.158723,21.15%
1,1,0,32,33154697.27,,26.62%
1,1,0,30,32809040.2,18.043041,24.00%
0,0,0,12,31336340.89,6.994822,14.89%
1,1,1,38,31161788.59,,15.84%
1,1,1,32,31000914.69,8.73566,15.38%
0,0,1,24,30913631.13,5.913448,23.19%
0,1,1,41,30438613.1,10.150728,17.14%
1,0,0,23,30271923.42,,28.26%
2,1,0,32,29175883.86,7.216786,33.33%
0,1,0,33,29101863,7.084138,21.05%
0,0,0,30,28360515.53,11.007209,30.61%
0,0,0,43,27513080.73,6.237978,15.22%
1,1,1,27,27364240.32,10.437347,32.35%
1,1,1,32,26538948.71,5.99806,21.95%
0,0,1,19,25497982.87,,36.36%
1,1,0,30,25124593.86,16.328323,29.17%
1,1,1,26,25029269.55,7.716139,40.00%
1,1,0,32,24831711.77,11.707825,38.46%
1,0,0,43,23228524.06,8.583821,42.31%
0,0,0,37,22854708.81,3.801448,31.82%
2,1,0,32,22679922.29,7.708623,28.21%
1,1,1,40,22674548.31,4.969316,23.08%
1,1,0,25,22542254.39,13.444288,32.63%
1,1,1,10,22027093.27,,28.76%
1,1,1,21,21834486.22,13.993195,31.43%
1,1,0,15,20254337.8,8.484627,31.03%
0,1,1,29,20217851,,26.21%
1,1,1,21,19696195.89,,17.54%
1,1,1,19,19222548.54,,25.86%
0,0,0,54,17815879.29,9.060034,25.00%
1,1,0,30,17638613.17,,28.57%
1,1,1,17,16854308.83,13.972873,21.88%
0,1,0,16,16537393.26,-0.633734,4.76%
1,1,1,17,16211441.1,,29.70%
0,1,0,46,16078389.53,1.951122,23.33%
1,1,0,20,16026284.46,,26.68%
1,1,1,21,14497702.57,6.825063,34.38%
0,1,0,33,13259685.45,,26.83%
0,1,0,37,13241663.76,10.839751,29.03%
1,1,0,32,12781428,12.173695,21.43%
1,1,1,45,12664407.67,-3.199621,36.11%
1,1,0,59,12375242.54,7.657561,40.91%
0,1,1,20,11762046.82,7.570785,23.58%
0,0,0,30,10835011.47,,23.68%
1,1,1,26,10829560.18,7.682484,33.85%
1,1,1,17,10321023.92,8.426562,25.16%
1,1,0,26,9572497.4,,37.93%
0,1,1,23,9334279.84,6.210123,17.24%
1,1,0,33,9300000,8.457515,26.47%
0,0,1,21,8723999.03,,17.14%
1,1,0,23,7622662.37,6.317957,27.62%
0,0,0,23,7407787.67,7.643231,31.03%
1,1,1,27,6832828.43,6.842245,20.00%
0,1,1,19,5986580,,25.00%
1,0,0,42,5609646.85,2.930283,39.29%
1,1,1,24,3600127.08,,25.90%
1,1,0,24,3393137.13,5.118953,37.50%
1,1,0,36,3234444,5.674816,19.44%
0,0,0,13,3072564.14,6.72371,13.33%
1,1,0,38,2988376.8,8.176802,17.65%
1,1,0,15,2709771.24,13.340595,29.71%
0,0,0,12,2697474.96,6.529743,32.00%
1,1,1,14,2343614.89,,25.19%
0,1,1,31,1190512.29,,27.78%
1,1,0,22,727636,2.259089,15.79%
0,1,0,25,,,23.68%
1,1,0,29,,,31.87%
1,1,0,14,,,19.23%
